"id";"product_id";"product_url";"very_happy";"happy";"satisfied";"indifferent";"disappointed";"time"
51;"";"https://www.amazon.com/Gillette-Mach3-Razor-Blades-Refills/dp/B0725BK81G/ref=cm_cr_arp_d_product_top?ie=UTF8";529;30;0;1;0;"2022-03-25 19:38:04"
52;"";"https://www.amazon.com/Braun-Pulsonic-70S-Replacement-Compatible/dp/B001VEK1HQ/ref=cm_cr_arp_d_product_top?ie=UTF8";537;23;0;0;0;"2022-03-25 19:40:20"
53;"";"https://www.amazon.com/DualShock-Wireless-Controller-PlayStation-Glacier-4/dp/B07VBBJ6KZ/ref=cm_cr_arp_d_product_top?ie=UTF8";538;22;0;0;0;"2022-03-25 19:41:53"
54;"";"https://www.amazon.com/Schick-Sensitve-Razors-Handle-Refills/dp/B07YT557MW/ref=cm_cr_arp_d_product_top?ie=UTF8";534;26;0;0;0;"2022-03-25 19:43:38"
55;"";"https://www.amazon.com/6amLifestyle-Controller-Charger-Playstation-Microsoft/dp/B07PR2PKFC/ref=cm_cr_arp_d_product_top?ie=UTF8";288;27;0;0;0;"2022-03-25 19:46:01"
56;"";"https://www.amazon.com/Gillette-Sensor2-Disposable-Razor-Count/dp/B005FVBCI8/ref=cm_cr_arp_d_product_top?ie=UTF8";350;10;0;0;0;"2022-03-25 19:48:43"
57;"";"https://www.amazon.com/Controller-OIVO-Playstation-1-8-Hours-Replacement/dp/B075YBBQMM/ref=cm_cr_arp_d_product_top?ie=UTF8";546;14;0;0;0;"2022-03-25 19:49:54"
58;"";"https://www.amazon.com/DualShock-Wireless-Controller-PlayStation-Midnight-4/dp/B0799976M1/ref=cm_cr_arp_d_product_top?ie=UTF8";536;24;0;0;0;"2022-03-25 19:51:04"
59;"";"https://www.amazon.de/-/en/Amazon-Basics-Piece-Stick-Cookware/dp/B074817DK1/ref=cm_cr_arp_d_product_top?ie=UTF8";507;52;0;1;0;"2022-03-25 19:55:08"
60;"";"https://www.amazon.de/-/en/18505-STONELINE-Ceramic-Cookware-Sets/dp/B01KMAYKIU/ref=cm_cr_arp_d_product_top?ie=UTF8";520;40;0;0;0;"2022-03-25 19:56:05"
61;"";"https://www.amazon.de/-/en/Procook-Stewing-Enamelled-Suitable-Induction/dp/B07DHQPDPK/ref=cm_cr_arp_d_product_top?ie=UTF8";540;20;0;0;0;"2022-03-25 19:57:25"
62;"";"https://www.amazon.de/-/en/Procook-Stewing-Enamelled-Suitable-Induction/dp/B08D3TYL6Y/ref=cm_cr_arp_d_product_top?ie=UTF8";531;29;0;0;0;"2022-03-25 21:07:49"
63;"";"https://www.amazon.com/Mounting-Dream-Bracket-MD2296-Upgraded/dp/B00KY054BG/ref=cm_cr_arp_d_product_top?ie=UTF8";537;23;0;0;0;"2022-03-25 21:10:54"
64;"";"https://www.amazon.com/Logitech-G502-Performance-Gaming-Mouse/dp/B07GBZ4Q68/ref=cm_cr_arp_d_product_top?ie=UTF8";542;18;0;0;0;"2022-03-25 21:14:53"
65;"";"https://www.amazon.com/Mounting-Dream-Articulating-600x400mm-MD2296-24K/dp/B07SMF9SQM/ref=cm_cr_arp_d_product_top?ie=UTF8";538;22;0;0;0;"2022-03-25 21:27:07"
66;"";"https://www.amazon.com/Mounting-Dream-Articulating-600x400mm-MD2617/dp/B08JTW2ZCP/ref=cm_cr_arp_d_product_top?ie=UTF8";335;26;0;0;0;"2022-03-25 21:36:45"
67;"";"https://www.amazon.com/Mounting-Dream-Articulating-400x400mm-MD2377/dp/B00QOOZ4DE/ref=cm_cr_arp_d_product_top?ie=UTF8";525;29;0;6;0;"2022-03-25 21:39:32"
68;"";"https://www.amazon.com/Mounting-Dream-Articulating-400x400mm-MD2413-MX/dp/B00KXTZ3BE/ref=cm_cr_arp_d_product_top?ie=UTF8";523;37;0;0;0;"2022-03-25 21:44:39"
69;"";"https://www.amazon.com/SHOWKOO-Luggage-Expandable-Durable-Suitcase/dp/B091L2RMXC/ref=cm_cr_arp_d_product_top?ie=UTF8";536;24;0;0;0;"2022-03-25 21:46:02"
70;"";"https://www.amazon.com/Silicone-Luggage-Perfect-Quickly-Suitcase/dp/B076VL8HCC/ref=cm_cr_arp_d_product_top?ie=UTF8";536;23;0;1;0;"2022-03-25 21:47:53"
71;"";"https://www.amazon.com/Etekcity-Temperature-Function-Portable-Household/dp/B07L86BFZY/ref=cm_cr_arp_d_product_top?ie=UTF8";537;23;0;0;0;"2022-03-25 21:49:36"
